ID,Nombre de la comunidad,Priori_500,Justifi_Prio_500,Priori_1000,Priorizadas,Cod_DANE_Dep,Departamento,Cod_DANE_Mun,Municipio,Región geográfica,18.¿Cúantas viviendas hay en su comunidad?,Inversión Estimada,Potencia Estimada kWp,x,y
17699,JUNTA DE ACCION COMUNAL VEREDA LAGUNA GRINGO,NO,N.A,NO,NO,50,META,50590,PUERTO RICO,ORINOQUÍA,75,1800000000,90,-73.0368921089999,2.448205603
17700,APROLECHO,SI,Relacionamiento Previo,NO,SI,25,CUNDINAMARCA,25183,CHOCONTÁ,ANDINA,,338000000,30,-73.685124,5.1446383
17701,JUNTA DE ACCION COMUNAL CIRCACIA,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,338000000,30,-76.465141138,0.669161333
17702,RESGUARDO JACOME,NO,N.A,SI,SI,18,CAQUETÁ,18460,MILAN,AMAZÓNICA,30,676000000,60,-75.3866476384,1.14669255394
17703,JUNTA DE ACCION COMUNAL DE LA VEREDA LA CRISTALINA,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,972000000,20,-76.487544,0.642675
17704,JUNTA DE ACCION COMUNAL DEL CORREGIMIENTO DE SANTA MONICA,NO,N.A,NO,NO,13,BOLÍVAR,13430,MAGANGUÉ,CARIBE,,338000000,30,-74.479829092,8.830933522
17705,JUNTA DEACCION COMUNAL DE LA VEREDA ARROYO DE ARENA ,NO,N.A,NO,NO,13,BOLÍVAR,13244,CARMEN DE BOLÍVAR,CARIBE,,338000000,30,-75.1579357255999,9.69981987635
17706,ASOCIACION LECHERE DE ARRAYANES,NO,N.A,NO,NO,25,CUNDINAMARCA,25183,CHOCONTÁ,ANDINA,,338000000,30,-73.6806773559,5.11844670378
17707,COOPERATIVA MULTIACTIVA DE COLOMBIA MANUEL MARULANDA VELEZ,SI,ETCR - COOP,NO,SI,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,AMAZÓNICA,,972000000,20,-74.7719383,2.6478774
17708,JUNTA DE ACCION COMUNAL VEREDA SANTA CATALINA SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17709,AGRORIBERA ,NO,N.A,NO,NO,8,ATLÁNTICO,8560,PONEDERA,CARIBE,3400,3840000000,1040,-74.7984729079,10.594651051
17710,JUNTA DE ACCION COMUNAL 23 DE MAYO DE SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17711,JUNTA ACCION COMUNAL ALTO TOCUY,NO,N.A,NO,NO,20,CESAR,20045,BECERRIL,CARIBE,,972000000,20,-73.2525052224,9.72773293903
17712,JUNTA DE ACCION COMUNAL CORREGIMIENTO DE SANTA LUCIA,NO,N.A,NO,NO,13,BOLÍVAR,13430,MAGANGUÉ,CARIBE,,338000000,30,-74.71044,9.31662
17713,JUNTA DE ACCION COMUNAL BARRIO BRISAS DEL VILLAVIEJA,NO,N.A,NO,NO,41,HUILA,41799,TELLO,ANDINA,,338000000,30,-75.0853624532,3.03060881644
17714,JUNTA DE ACCION COMUNAL VEREDA BAJO GRANDE SAN JUAN NEPOCRNO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,60,1200000000,60,-75.0657247939,9.96795847543
17715,ASOCIACION DE PRODUCTORES DE LECHE DE CHOCONTA ,NO,N.A,NO,NO,25,CUNDINAMARCA,25183,CHOCONTÁ,ANDINA,,338000000,30,-73.685124,5.1446383
17716,JUNTA  DE ACCION COMUNAL DEL BARRIO EL EDEN SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17718,JUNTA DE ACCION COMUNAL PUEBLO NUEVO SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,150,2704000000,240,-75.0657247939,9.96795847543
17719,JUNTA DE ACCION COMUNAL DEL BARRIO DE  CHILE,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,170,3042000000,270,-75.0657247939,9.96795847543
17720,JUNTA DE ACCION COMUNAL VEREDA MILAGRO BAJO ,NO,N.A,NO,NO,20,CESAR,20013,AGUSTÍN CODAZZI,CARIBE,,972000000,20,-73.2235824408,9.94921590787
17721,JUNTA DE ACCION COMUNAL SAN JOSE DEL PENON SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,300,5070000000,450,-75.00426,9.91541
17722,AFRO ,NO,N.A,NO,NO,23,CÓRDOBA,23162,CERETÉ,CARIBE,,338000000,30,-75.8345770594,8.89101500003
17723,JUNTA DE ACCION COMUNAL DEL BARRIO LA COCAS,NO,N.A,NO,NO,13,BOLÍVAR,13836,TURBACO,CARIBE,,338000000,30,-75.41503,10.32962
17724,JUNTA DE ACCION COMUNAL BARRIO PALMIRA SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,42,1014000000,90,-75.088538806,9.95064667099999
17725,JUNTA DE ACCION COMUNAL 20 DE MARZO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17726,JUNTA DE ACCION COMUNAL BARIO ALTAMIRA,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,220,1800000000,90,-75.101580837,9.95155324199999
17727,VEREDA BOLIVIA,NO,N.A,NO,NO,41,HUILA,41799,TELLO,ANDINA,,338000000,30,-75.0853624532,3.03060881644
17729,JUNTA DE ACION COMUNAL BARRIO ARRIBA,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17730,JUNTA DE ACCION COMUNAL BARRIO EL CERRITO SAN JUAN NEPOMUCENO BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17731,JUNTA DE ACCION DE COMUNAL CORREGIMIENTO SAN PEDRO CONSOLADO .,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,200,3380000000,300,-75.0657247939,9.96795847543
17732,VEREDA GUAIMARAL,NO,N.A,NO,NO,41,HUILA,41799,TELLO,ANDINA,,338000000,30,-75.0853624532,3.03060881644
17733,JUNTA DE ACCION COMUNAL BARRIO SAN JOSE,NO,N.A,SI,SI,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,500,2769230769,750,-75.0657247939,9.96795847543
17734,ASOCIACION DE CAMPESINOS RURALES Y URBANOS SUENOS Y ESPERANZA DE AGUSTIN CODAZZI,NO,N.A,NO,NO,20,CESAR,20013,AGUSTÍN CODAZZI,CARIBE,,972000000,20,-73.23725,10.0355
17735,JUNTA DE ACCION COMUNAL BARRIO VISTA  HERMOSA  CARMEN DE BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13244,CARMEN DE BOLÍVAR,CARIBE,,338000000,30,-75.1579357255999,9.69981987635
17736,ASOCIACION DE DESPLAZADOS DE CORRALITO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,22,676000000,60,-74.9763998429999,9.926604003
17737,CONSEJO AFRO DESENDIENTE DE CORRALITO SEMBRANDO FUTURO MEDARDO CATE,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,20,338000000,30,-75.0657247939,9.96795847543
17738,JUNTA DE ACCION COMUNAL DEL CORREGIMIENTO  DE CORRALITO CORRALITO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,200,3380000000,300,-74.976521081,9.926900325
17739,JUNTA DE ACCION COMUNAL  BARRIO VILLA VERDE,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,50,1014000000,90,-75.0657247939,9.96795847543
17740,JUNTA DE ACCION COMAL VEREDA MARIA CAROLINA,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,36,1458000000,30,-75.0657247939,9.96795847543
17741,JUNTA DE ACCION COMUNAL BARRIO SAN ISIDRO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,338000000,30,-75.0657247939,9.96795847543
17742,ACCION COMUNAL CORREGIMIENTO EL CAMPO ,NO,N.A,NO,NO,70,SUCRE,70670,SAMPUÉS,CARIBE,,338000000,30,-75.3602752919999,9.1651783072
17743,CORPORACION PARA EL DESARROLLO INTEGRAL DE LOS MONTES DE MARIA Y SUS TERRITORIOS CORDIMAT,NO,N.A,NO,NO,13,BOLÍVAR,13433,MAHATES,CARIBE,,338000000,30,-75.1895599199999,10.234364336
17744,ASOCIACION INTEGRAL CAMPESINOS DE CANITO,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,,972000000,20,-75.0657247939,9.96795847543
17745,JUNTA DE ACCION COMUNAL VEREDA CERRO NEGRO,NO,N.A,NO,NO,41,HUILA,41078,BARAYA,ANDINA,,338000000,30,-74.9858899999999,3.10532
17747,JUNTA DE ACCION COMUNAL VEREDA BOTIJUELA,NO,N.A,NO,NO,13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,CARIBE,150,1800000000,90,-75.0657247939,9.96795847543
17748,JUNTA DE ACCION COMUNITARIA BARRIO EL PUENTE,NO,N.A,NO,NO,13,BOLÍVAR,13433,MAHATES,CARIBE,,338000000,30,-75.1974992589999,10.2375093239999
17749,COMUNIDAD INDIGENA NASA PKIND KIWE  GUAYABALES,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,338000000,30,-76.4809940512,0.72507122985
17750,JUNTA DE ACCION COMUNAL DE LA VEREDA PAISPAMBA,NO,N.A,NO,NO,19,CAUCA,19760,SOTARA,PACÍFICA,,338000000,30,-76.614982061,2.254399865
17752,ASOCIACION DE JUNTAS DE ACCION COMUNAL DEL MUNICIPIO DE PIAMONTE,NO,N.A,NO,NO,19,CAUCA,19533,PIAMONTE,PACÍFICA,30,1458000000,30,-76.328507063,1.118687606
17753,ASOCIACION DE JUNTAS DE ACCION COMUNAL DEL MUNICIPIO DE MIRANDA DEPARTAMENTO DEL CAUCA.,NO,N.A,NO,NO,19,CAUCA,19455,MIRANDA,PACÍFICA,1100,3212307692,870,-76.227352701,3.245665693
17754,VEREDA LA INDEPENDENCIA,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,150,3042000000,270,-76.3900635619999,0.728964167
17755,JUNTA DE ACCION COMUNAL DEL BARRIO LA CONCEPCION MUNICIPIO MAHATES BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13433,MAHATES,CARIBE,,338000000,30,-75.192475481,10.228979314
17756,JUNTA DE ACCION COMUNAL DE LA VEREDA LOS CEDROS,NO,N.A,NO,NO,19,CAUCA,19760,SOTARA,PACÍFICA,,338000000,30,-76.5809396899999,2.3130648
17757,INSTITUCION EDUCATIVA LA PRIMAVERA,NO,Recursos ISAGEN,NO,SI,50,META,50590,PUERTO RICO,ORINOQUÍA,75,1800000000,90,-73.1107450739999,2.819202695
17759,ASOCIACION DE MUJERES AGRICULTORAS DE LA VEREDA FODO SONRISA MUNICIPIO DE MAHATES BOLIVAR,NO,N.A,NO,NO,13,BOLÍVAR,13433,MAHATES,CARIBE,,338000000,30,-75.1669406219999,10.1340834139999
17760,JANIRIS CABARCAS CERDA ,NO,N.A,NO,NO,13,BOLÍVAR,13836,TURBACO,CARIBE,,972000000,20,-75.3797149427,10.3529360096
17761,JUNTA DE ACCION COMUNAL BARRIO EL CERRITO,NO,N.A,NO,NO,20,CESAR,20621,LA PAZ,CARIBE,100,1600000000,130,-73.1907549609999,10.1642465261999
17762,CONSEJO COMUNITARIO EL MANGO DE LA PUA II,NO,N.A,NO,NO,13,BOLÍVAR,13647,SAN ESTANISLAO,CARIBE,,338000000,30,-75.1916957669999,10.432490785
17763,JUNTA DE ACCIIN COMINAL BARRIO EL CERRITO,NO,N.A,NO,NO,20,CESAR,20621,LA PAZ,CARIBE,,338000000,30,-73.1907549609999,10.1642465261999
17764,ASOCIACION MUJERES CAMPESINAS DE PAZ VERDA PAVA ,NO,N.A,NO,NO,13,BOLÍVAR,13433,MAHATES,CARIBE,,338000000,30,-75.243283749,10.125293664
